account_id,symbol,side,leverage,amount,total_funding,holding_minutes
A_f96ede8d34,0GUSDT.PERP,LONG,10,39999.993776,9649.18641272638,2.587920650839806
A_d444580218,2ZUSDT.PERP,LONG,10,29999.988352,5923.192704922873,2.648806795477867
A_f96ede8d34,2ZUSDT.PERP,LONG,10,29999.976864,9649.18641272638,2.637016475200653
A_f96ede8d34,4USDT.PERP,LONG,10,29999.990805,9649.18641272638,15.3394990414381
A_d444580218,4USDT.PERP,LONG,10,29999.98863,5923.192704922873,15.32756455242634
A_d444580218,4USDT.PERP,SHORT,10,29999.982672,5923.192704922873,0.4295128583908081
A_f96ede8d34,4USDT.PERP,SHORT,10,29999.982672,9649.18641272638,0.4336816817522049
A_f96ede8d34,AKTUSDT.PERP,SHORT,10,9599.9932,9649.18641272638,1.182497441768646
A_d444580218,AKTUSDT.PERP,SHORT,10,9599.9932,5923.192704922873,1.180806308984756
A_f96ede8d34,AKTUSDT.PERP,SHORT,10,11667.58208,9649.18641272638,1.07650525867939
A_f96ede8d34,API3USDT.PERP,LONG,10,29999.99604,9649.18641272638,0.5858581513166428
A_d444580218,API3USDT.PERP,LONG,10,29999.99604,5923.192704922873,0.5831685662269592
A_f96ede8d34,API3USDT.PERP,LONG,10,29999.958,9649.18641272638,2.034407928586006
A_d444580218,API3USDT.PERP,LONG,10,29999.958,5923.192704922873,2.033198922872543
A_d444580218,API3USDT.PERP,LONG,10,29999.99205,5923.192704922873,7.702158987522125
A_f96ede8d34,API3USDT.PERP,LONG,10,29999.99205,9649.18641272638,7.701509892940521
A_f96ede8d34,API3USDT.PERP,LONG,10,29999.99808,9649.18641272638,8.849526196718216
A_d444580218,API3USDT.PERP,LONG,10,29999.94048,5923.192704922873,8.847290575504303
A_d444580218,API3USDT.PERP,LONG,10,29999.9824,5923.192704922873,8.464731127023697
A_f96ede8d34,API3USDT.PERP,LONG,10,29999.9824,9649.18641272638,8.464084044098854
A_f96ede8d34,API3USDT.PERP,LONG,10,29999.93064,9649.18641272638,3.454696610569954
A_d444580218,API3USDT.PERP,LONG,10,29999.93064,5923.192704922873,3.442647457122803
A_f96ede8d34,API3USDT.PERP,LONG,20,29999.95712,9649.18641272638,1.510868892073631
A_f96ede8d34,API3USDT.PERP,LONG,15,29999.9359,9649.18641272638,0.5163996666669846
A_d444580218,API3USDT.PERP,LONG,10,29999.9359,5923.192704922873,0.4926460236310959
A_f96ede8d34,API3USDT.PERP,LONG,10,29999.96424,9649.18641272638,0.9129327535629272
A_d444580218,API3USDT.PERP,LONG,10,29999.96424,5923.192704922873,0.9100091457366943
A_2db64f326b,API3USDT.PERP,LONG,6,59999.99696,21989.19913135186,0.1897978037595749
A_f96ede8d34,API3USDT.PERP,LONG,10,29999.93334,9649.18641272638,1.30562424659729
A_f96ede8d34,API3USDT.PERP,LONG,10,11999.99131,9649.18641272638,0.9440289437770844
A_d444580218,API3USDT.PERP,LONG,10,11999.99131,5923.192704922873,0.9466635435819626
A_f96ede8d34,API3USDT.PERP,LONG,10,11999.94624,9649.18641272638,4.391348138451576
A_2db64f326b,APTUSDT.PERP,LONG,14,358181.559745,21989.19913135186,0.1912803947925568
A_2db64f326b,APTUSDT.PERP,LONG,17,296317.771376,21989.19913135186,0.1978739351034164
A_2db64f326b,APTUSDT.PERP,LONG,9,339111.678773,21989.19913135186,0.1983929425477982
A_2db64f326b,APTUSDT.PERP,LONG,9,369999.972194,21989.19913135186,0.05344368517398834
A_2db64f326b,APTUSDT.PERP,LONG,15,372999.970248,21989.19913135186,0.07336780428886414
A_2db64f326b,APTUSDT.PERP,LONG,15,549999.9752,21989.19913135186,0.1048837602138519
A_2db64f326b,APTUSDT.PERP,LONG,20,549999.9709,21989.19913135186,0.07479742169380188
A_2db64f326b,APTUSDT.PERP,LONG,15,549999.984666,21989.19913135186,0.08103221654891968
A_2db64f326b,APTUSDT.PERP,LONG,16,549999.99822,21989.19913135186,0.0719965249300003
A_2db64f326b,APTUSDT.PERP,LONG,16,549999.985496,21989.19913135186,0.0733436644077301
A_2db64f326b,APTUSDT.PERP,LONG,13,549999.978738,21989.19913135186,0.09613506495952606
A_2db64f326b,APTUSDT.PERP,LONG,22,549999.987044,21989.19913135186,0.1134916394948959
A_2db64f326b,APTUSDT.PERP,LONG,22,549999.976365,21989.19913135186,0.07234521210193634
A_2db64f326b,APTUSDT.PERP,LONG,22,549999.978934,21989.19913135186,0.05512073636054993
A_2db64f326b,APTUSDT.PERP,LONG,13,549999.978096,21989.19913135186,0.0761338323354721
A_2db64f326b,APTUSDT.PERP,LONG,13,549999.980858,21989.19913135186,0.07771365344524384
A_2db64f326b,APTUSDT.PERP,LONG,10,549999.975906,21989.19913135186,0.08653879165649414
A_2db64f326b,APTUSDT.PERP,LONG,10,549999.972848,21989.19913135186,0.2391296625137329
A_2db64f326b,APTUSDT.PERP,LONG,10,549999.980968,21989.19913135186,0.06915271282196045
A_2db64f326b,APTUSDT.PERP,LONG,10,549999.975712,21989.19913135186,0.08459486067295074
A_2db64f326b,APTUSDT.PERP,LONG,10,549999.985214,21989.19913135186,0.07865644991397858
A_2db64f326b,APTUSDT.PERP,LONG,10,549999.980339,21989.19913135186,0.09620547294616699
A_2db64f326b,APTUSDT.PERP,LONG,10,549999.97745,21989.19913135186,0.09066268801689148
A_2db64f326b,APTUSDT.PERP,LONG,10,549999.973963,21989.19913135186,0.08763514459133148
A_2db64f326b,APTUSDT.PERP,LONG,7,549999.973685,21989.19913135186,0.0693947821855545
