loser_account,winner_account,trade_count,total_laundered_profit,total_intentional_loss,total_linked_bonus,avg_suspicion_score,symbols_traded
A_55021b4ae2,A_c91db6cabf,6,437.3034799999991,-467.89005000000043,209.79754,94.16666666666667,"OMUSDT.PERP, REDUSDT.PERP, SUIUSDT.PERP"
A_c91db6cabf,A_55021b4ae2,2,145.5655999999999,-173.52300000000014,100.0,87.5,"ADAUSDT.PERP, SUIUSDT.PERP"
A_e7205c325a,A_dcd87c6c96,3,5.871696000001975,-53.01531600000453,534.7787135833333,100.0,BTCUSDT.PERP
A_4943ad62b4,A_e27beda014,4,4.56574240000009,-7.384108799999922,42.36382823348417,100.0,"BTCUSDT.PERP, ETHUSDT.PERP"
